Settlement Date,Trade Date,Ticker,Company Name,,Quantity,Price,Fees,,Industry Group
4/24/2015,4/21/2015,ACHC,ACADIA HEALTHCARE COMPANY INC,Buy,46, 72.52 , 2.00 ," 3,337.92 ",Health Care
4/24/2015,4/21/2015,AEO,AMERICAN EAGLE OUTFITTERS,Buy,341, 16.93 , 0.60 ," 5,773.73 ",Consumer Discretionary
4/24/2015,4/21/2015,AKRX,AKORN INC,Buy,64, 55.42 , 2.00 ," 3,548.88 ",Health Care
4/24/2015,4/21/2015,AXLL,AXIALL CORP,Buy,87, 43.61 , 1.99 ," 3,796.06 ",Materials
4/24/2015,4/21/2015,AZPN,ASPEN TECHNOLOGY INC,Buy,93, 40.82 , 2.00 ," 3,798.26 ",Information Technology
4/24/2015,4/21/2015,BC,BRUNSWICK CORP,Buy,148, 54.17 , 1.64 ," 8,018.80 ",Consumer Discretionary
4/24/2015,4/21/2015,BDC,BELDEN INC,Buy,45, 94.79 , 2.00 ," 4,267.55 ",Information Technology
4/24/2015,4/21/2015,BEE,STRATEGIC HOTELS & RESORTS INC,Buy,392, 11.96 , 2.00 ," 4,690.32 ",Financials
4/24/2015,4/21/2015,BERY,BERRY PLASTICS GRP INC,Buy,111, 35.29 , 1.71 ," 3,918.90 ",Materials
4/24/2015,4/21/2015,BLUE,BLUEBIRD BIO INC,Buy,26, 135.76 , 2.00 ," 3,531.76 ",Health Care
4/24/2015,4/21/2015,BWLD,BUFFALO WILD WINGS INC,Buy,32, 179.74 , 2.00 ," 5,753.68 ",Consumer Discretionary
4/24/2015,4/21/2015,CASY,CASEYS GENL STORES INC,Buy,58, 87.74 , 1.83 ," 5,090.75 ",Consumer Staples
4/24/2015,4/21/2015,CAVM,CAVIUM INC,Buy,53, 72.86 , 2.00 ," 3,863.58 ",Information Technology
4/24/2015,4/21/2015,CGNX,COGNEX CORP,Buy,183, 50.26 , 2.59 ," 9,200.17 ",Information Technology
4/24/2015,4/21/2015,CLC,CLARCOR INC,Buy,72, 66.40 , 2.00 ," 4,782.80 ",Industrials
4/24/2015,4/21/2015,CMPR,CIMPRESS N V,Buy,36, 86.76 , 2.00 ," 3,125.36 ",Information Technology
4/24/2015,4/21/2015,CNL,CLECO CORP NEW,Buy,79, 54.33 , 1.99 ," 4,294.06 ",Utilities
4/24/2015,4/21/2015,CNO,CNO FINANCIAL GROUP INC,Buy,291, 17.91 , 0.81 ," 5,212.62 ",Financials
4/24/2015,4/21/2015,CPHD,CEPHEID INC,Buy,77, 53.85 , 2.00 ," 4,148.45 ",Health Care
4/24/2015,4/21/2015,CUBE,CUBESMART,Buy,234, 23.40 , 1.98 ," 5,477.58 ",Financials
4/24/2015,4/21/2015,CW,CURTISS-WRIGHT CORP DE,Buy,71, 76.04 , 2.00 ," 5,400.84 ",Industrials
4/24/2015,4/21/2015,CY,CYPRESS SEMICONDUCTOR CORP,Buy,326, 13.48 , 1.67 ," 4,396.15 ",Information Technology
4/24/2015,4/21/2015,DAN,DANA HOLDING CORP,Buy,287, 21.43 , 1.25 ," 6,151.66 ",Consumer Discretionary
4/24/2015,4/21/2015,DLX,DELUXE CORP,Buy,74, 69.23 , 2.00 ," 5,125.02 ",Industrials
4/24/2015,4/21/2015,DXCM,DEXCOM INC,Buy,80, 70.21 , 1.99 ," 5,618.79 ",Health Care
4/24/2015,4/21/2015,DYAX,DYAX CORP,Buy,151, 28.03 , 1.85 ," 4,234.38 ",Health Care
4/24/2015,4/21/2015,DYN,DYNEGY INC NEW DEL,Buy,150, 33.04 , 1.61 ," 4,957.61 ",Utilities
4/24/2015,4/21/2015,EME,EMCOR GROUP INC,Buy,92, 46.64 , 1.90 ," 4,292.78 ",Industrials
4/24/2015,4/21/2015,ENS,ENERSYS,Buy,64, 68.03 , 1.99 ," 4,355.91 ",Industrials
4/24/2015,4/21/2015,EPR,EPR PROPERTIES BEN INT,Buy,82, 59.44 , 1.99 ," 4,876.07 ",Financials
4/24/2015,4/21/2015,ESL,ESTERLINE TECHNOLOGIES CORP,Buy,48, 112.91 , 2.00 ," 5,421.68 ",Industrials
4/24/2015,4/21/2015,FAF,FIRST AMERICAN FINANCIAL CORP,Buy,153, 36.14 , 1.37 ," 5,530.79 ",Financials
4/24/2015,4/21/2015,FANG,DIAMONDBACK ENERGY INC,Buy,109, 82.22 , 2.55 ," 8,964.53 ",Energy
4/24/2015,4/21/2015,FEIC,FEI COMPANY,Buy,47, 74.07 , 2.00 ," 3,483.29 ",Information Technology
4/24/2015,4/21/2015,FMER,FIRSTMERIT CORP,Buy,238, 19.26 , 1.76 ," 4,585.64 ",Financials
4/24/2015,4/21/2015,GEO,GEO GROUP INC NEW,Buy,107, 42.23 , 1.73 ," 4,520.34 ",Financials
4/24/2015,4/21/2015,GNRC,GENERAC HOLDINGS INC,Buy,101, 48.55 , 1.70 ," 4,905.25 ",Industrials
4/24/2015,4/21/2015,GPK,GRAPHIC PACKAGING HOLDING COMPANY,Buy,401, 14.12 , 0.40 ," 5,662.52 ",Materials
4/24/2015,4/21/2015,GWRE,GUIDEWIRE SOFTWARE INC,Buy,71, 52.63 , 1.82 ," 3,738.55 ",Information Technology
